item_id,title,description,url,brand,seller_name,image_url,availability,price,sale_price,is_ads_eligible
83877,טרמפיסט אונברסלי מתכוונן במפריידר Bumpride,"טרמפיסט אונברסלי לעגלת וטיולונים מבית BumpRider השוודית תוכנן במיוחד במטרה להתאים לכל עגלה או טיולון. הטרמפיסט המעוצב כך שיוכל להוביל ילד נוסף בעמידה,בין מושב העגלה למבוגר. במצב כזה ניתן לקחת שני ילדים לטיול מבלי להתעייף. הגלגלים בעלי קפיצים ליצוב ואיזון הטרמפיסט ולמניעת זעזועים כשהילד העומד. קל להליכה גם בכבישים ומדרכות משובשות. חיבור פשוט וקל. בעל רצועה לקיפול המוצר מבלי לפרק את הטרמפיסט כשהוא לא בשימוש. מתאים לשימוש לילדים מגיל 2 ועד 5 שנים (20 ק""ג)",https://www.babystav.co.il/טרמפיסט-מתאים-לכל-סוגי-העגלות,באמפריידר | BumpRider,בייבי סתיו,https://www.babystav.co.il/Sites/stav/usercontent/Images/pro/dav/אינפנטי/עגלה טרמפיסט/לכל סוגי העגלות/pri.jpg,in_stock,354.00 ILS,,true
83902,כסא אוכל דגם Polly Highchair,"גיל :מיועד לילד מגיל 6 חודשים המסוגל לשבת בכוחות עצמו ועד גיל 36 חודשים או משקל של 15 ק”ג כיסא האוכל פוקט מיל מלווה את ילדך לאורך שלבי ההתפתחות השונים סביב שולחן האוכל הכיסא קומפקטי במיוחד – מתקפל בקלות ונוח להורה ולילד, מתאים לשימוש גם בחופשות – ניתן לקפל ולהביא אותו לכל מקום בזכות הגודל והמשקל שלו – בעובי של 28 ס”מ בלבד כשהוא מקופל ומשקל של 6.3 ק”ג בלבד מושב רך ורחב, המבטיח נוחות מלאה לילדך ויגרום לו להרגיש מחובק ובטוח. הודות למשענת הגב המתכווננת, הוא מתאים גם לאחר הארוחה מנח הרגליים מתכוונן ל-2 מצבים על מנת להתאים אותו לגובה ילדכם מערכת של 5 נקודות חגירה לבטיחות מקסימלית משענת בעלת 3 מצבי גובה לנוחות מירבית מגש רחב ונוח לאכילה ולמשחק לאחר הארוחה מסגרת הכיסא יציבה וחזקה במיוחד על מנת לספק נוחות ובטיחות מרבית מערכת קיפול קלילה ופשוטה – ע”י לחיצה על שני כפתורים בלבד הכיסא קל ונוח לניקוי על ידי הסרה ושטיפה של המגש וכיסוי הריפוד לשימוש עד 15 ק”ג מידות : 54.6 (ר) 104 (ג) 83.8 (ע) ס”מ משקל המוצר :10.5 ק”ג",https://www.babystav.co.il/כסא-אוכל-לתינוק-ציקו-דגם-פולי,צ'יקו | Chicco,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/pro/dav/%D7%A6%D7%99%D7%A7%D7%95/%D7%9B%D7%A1%D7%90%D7%95%D7%AA%20%D7%90%D7%95%D7%9B%D7%9C/polly/%D7%A9%D7%97%D7%95%D7%A8.jpg,in_stock,699.00 ILS,639.00 ILS,true
83951,מזרון צף קל (צופי) איכותי לאמבטיה,"עוזר להורים בזמן האמבטיה לרחיצה קלה ובטוחה. גדל עם התינוק ומתאים לתינוק מיום לידתו. משענת הראש הרכה נועדה לתמוך בראש התינוק. מזרון מעוצב בהתאמה למבנה גוף התינוק , גורם לחצי גוף התינוק לצוף באמבטיה לנוחות מירבית ובטחון להורים. ניתן לכביסה במכונת כביסה. מתיבש במהירות.",https://www.babystav.co.il/מזרון-צף-קל-לאמבטיה,מיננה | Minene,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/pro/Meinene/90429.jpg,out_of_stock,109.00 ILS,,true
83982,מושב אמבטיה מתכוונן חזק ויציב (דפני),מושב אמבטיה מתאים לגילאים 0+. מתאים עד לגיל של 6 חודשים. מפלסטיק קשיח ועמיד לאורך זמן. יציב נוח וקל לשימוש. מעניק תמיכה לראש התינוק. בסיס יציב עם מדבקות ואקום למניעת תזוזת המושב.,https://www.babystav.co.il/מושב-אמבטיה-מתכוונן,קטנטנים אור פלסט | Mamo,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/1783b13ad6ef3e05a51a3a91faf343d7.jpg,in_stock,39.00 ILS,,true
83996,"מזרן עריסת עץ דגם 48X86 ס""מ","מזרן איכותי המותאם לעריסה ומבטיח לתינוק שינה טובה וחסרת קשיים. ליבת המזרן מורכבת מפוליאוריטן ירוק בצפיפות גבוהה וציפוי PVC חיצוני האוטם את המזרון מפני נוזלים. מזרן העריסה של אורפלסט מקל על חייכם באופן מובהק – ניתן בקלות רבה לשלוף את המזרן מתוך העריסה ולנקות אותו. מזרון לעריסה במידות 48X86 ס""מ. באישור מכון התקנים",https://www.babystav.co.il/מזרן-לעריסת-עץ,קטנטנים אור פלסט | Mamo,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/ffbbfd2228151783b7111273dd8d387b.jpg,in_stock,70.00 ILS,,true
84012,"מזרן ללול עץ דגם 95X83 ס""מ","מזרן איכותי המותאם ללול עץ ומבטיח לתינוק שינה טובה וחסרת קשיים. ליבת המזרן - פוליאוריתן מוקצף מעכב אש , מסה סגטולית 31ק""ג/מ""ק מעטפת המזרון: פולניוניל כלוריד מעכב אש המזרן עומד בדרישות התק'ן הישראלי מידות: 95x83 ס""מ עובי: 5 ס""מ",https://www.babystav.co.il/מזרן-ללול-חסין-אש-עם-תו-תקן-ישראלי,קטנטנים אור פלסט | Mamo,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/fcb1beccf11c62924512b7b527235435.jpg,in_stock,99.00 ILS,,true
84044,אמבטיה לתינוק כולל מעמד וצינור ניקוז דגם Large,"אמבטיה קלה קומפקטית. לתינוק לאמבטיה משטח מיוחד להנחת סבון / שמפו / כלי רחצה רגלי המעמד חזקות ומעניקות יציבות אופטימלית. פתח ניקוז תחתון למים מגיע עם פקק וצינור ניקוז מידות חיצונית 85X48 ס""מ. עומק 23.5 ס""מ",https://www.babystav.co.il/אמבטיה-דגם-רחב,קטנטנים אור פלסט | Mamo,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/22(2).jpg,in_stock,151.00 ILS,,true
84094,סיר לילה לתינוק דגם Anatomic Potty,סיר לילה הגייני והאנטומי מתאים לילדים אשר נגמלו מחיתולים. מתאים להורים הרוצים להרגיל א ילדם להיגמל מחיתולים. לכיסא מושב אנטומי ונוח עם תמיכה לגב. קל משקל ונוח לנשיאה. קצות רכים ומעוגלים לביטחון הילד. מתאים לילדים עד גיל 4.,https://www.babystav.co.il/סיר-היגייני-אנטומי-ציקו----Chicco,צ'יקו | Chicco,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/pro/dav/%D7%A6%D7%99%D7%A7%D7%95/%D7%A1%D7%99%D7%A8%D7%9D/%D7%A1%D7%99%D7%A8%20%D7%9C%D7%99%D7%9C%D7%94%20%D7%AA%D7%9B%D7%9C%D7%AA.jpg,out_of_stock,50.00 ILS,,true
84095,מזרן לתינוק ללול קמפינג,"מותאם במיוחד כתוספת למיטות קמפינג בנוסף למזרון הקיים. ליבת המזרון עשויה מפוליאוריטן מוקצף מעכב אש מסה סגולית 31 ק""ג /מ""ק ציפוי חיצוני איכותי למניעת חדירת נוזלים , עשוי מפוליוניל כלוריג מעכב בעירה. מזרון המשמש פיתרון מושלם להורים הרוצים להשתמש במיטת הקמפינג גם לשינת לילה. מספק לתינוק סביבת שינה בריאה ובטוחה. קל ונוח לניקוי בעזרת מטלית עם מים וסבון. באישור מכון התקנים מידות: 98X68 ס""מ",https://www.babystav.co.il/מזרון-למיטת-קמפינג---פנג,קטנטנים אור פלסט | Mamo,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/48a8e891c48b6a0f8117d5def94dfe5c.jpg,in_stock,122.00 ILS,,true
84172,מברשת לניקוי בקבוק ופיטמה,מברשת איכותית עם אחיזה נוחה לניקוי בקבוק ופיטמה,https://www.babystav.co.il/מברשת_לניקוי_בקבוק_ופיטמה_ציקו_Chicco,צ'יקו | Chicco,בייבי סתיו,https://www.babystav.co.il/sites/stav/UserContent/images/pro/dav/%D7%A6%D7%99%D7%A7%D7%95/%D7%91%D7%A7%D7%91%D7%95%D7%A7%D7%99%D7%9D%20%D7%95%D7%90%D7%91%D7%99%D7%96%D7%A8%D7%99%D7%9D/chicco-bottle-brush-set-400x400-imadgghhbfxyd7nz.jpeg,in_stock,35.00 ILS,,true
